University,official_accept_rate,official_median_SAT,ranking
Connecticut College,0.37,1430,NaN
College of the Holy Cross,0.18,1340,NaN
Rose-Hulman Institute of Technology,0.77,1420,NaN
The College of Wooster,0.6,1330,NaN
Embry-Riddle Aeronautical University,0.65,1260,NaN
St. John's University,0.83,1240,NaN
Cambridge University,0.16,NaN,6
Washington State,0.87,1130,423
University of Denver,0.78,1320,1100
Clarkson University,0.77,1300,970
University of Kentucky,0.93,1180,786
United States Military Academy - West Point,0.12,1330,1235
Olin College of Engineering,0.25,1520,NaN
Sarah Lawrence College,0.62,1360,NaN
