ID,Accepts,Rejects,Waitlisted,Deferred
221,"University of San Francisco, Northeastern University, Baylor University, University of North Carolina - Chapel Hill, California Polytechnic State University, University of California - Riverside, California State University - Long Beach, California State University - Bakerfield, University of California - Santa Barbara, University of California - San Diego, University of California - Davis, William & Mary, Georgia Institute of Technology","University of California - Los Angeles, Williams College, University of California - Berkeley, University of Michigan - Ann Arbor, Brown University, Tulane University, Dartmouth College, Princeton University, Stanford University",,
222,"Harvey Mudd College, California State Polytechnic University - Pomona",California Institute of Technology,,
223,"Boston College, Fordham University, George Washington University, University of Illinois - Urbana Champaign, University of Southern California, University of South Florida, University of Washington - Seattle","Brown University, University of California - Berkeley, Columbia University, Johns Hopkins, Harvard University, Northwestern University, Princeton University, Stanford University, Yale University",,
224,"Ohio State, Rensselaer Polytechnic Institute, Rochester Institute of Technology","Brown University, California Institute of Technology, Carnegie Mellon, Harvey Mudd College, Pomona College, Reed College, Stanford University",,
225,"University of California - Davis, University of California - Santa Barbara, University of California - Berkeley, University of Southern California, Cornell University, Brown University, Princeton University, Stanford University",,,
226,"Dartmouth College, University of Chicago, University of North Carolina - Chapel Hill, Miami University - Ohio, Santa Clara University, University of Notre Dame, University of Virginia, William & Mary","Massachusetts Institute of Technology, Stanford University, Duke University, University of Pennsylvania",,
227,"Georgia State, University of Georgia, University of Miami, Vanderbilt University, University of Southern California, Rice University","Harvard University, Princeton University",,
228,"University of Delaware, University of Tennessee - Knoxville, George Mason University, University of Rhode Island, University of Southern California, Goucher College, University of Richmond, Loyola University Chicago","Florida State, Brown University, Boston University, American University, George Washington University",,
229,"Columbia University, Lawrence University, Rice University, Santa Clara University, University of California - Davis, University of California - Santa Cruz","California Institute of Technology, Cornell University, Duke University, Harvard University, Massachusetts Institute of Technology, Stanford University, Yale University",,
230,University of North Carolina - Chapel Hill,"Duke University, University of Pennsylvania, Massachusetts Institute of Technology, Carnegie Mellon, Georgia Institute of Technology, Cornell University, Columbia University, Stanford University, University of Virginia",,
231,"Carnegie Mellon, University of Southern California, Brown University","Massachusetts Institute of Technology, Harvey Mudd College, University of California - Los Angeles, University of California - Berkeley, Rice University, Princeton University, Yale University, University of Pennsylvania, Stanford University",,
232,"University of Richmond, Williams College, Stanford University",Harvard University,,
233,"Massachusetts Institute of Technology, University of Minnesota - Twin Cities",,,
234,Brown University,,,
235,"Indiana University Bloomington, University of Texas - Austin, University of Michigan - Ann Arbor, University of Virginia","Princeton University, University of North Carolina - Chapel Hill, Harvard University, University of Pennsylvania, University of California - Berkeley, University of California - Los Angeles, University of Southern California, Yale University, Cornell University, Northwestern University, Dartmouth College, Duke University",,
236,"Texas A&M, University of Texas - Austin","Duke University, University of California - San Diego, University of California - Irvine, University of California - Los Angeles, Vanderbilt University, Cornell University, Northwestern University, Northeastern University, Barnard College, Brown University, University of Pennsylvania, Rice University, University of Southern California, Wellesley College, Tufts University, University of North Carolina - Chapel Hill",,
237,"University of Maryland - College Park, School of Visual Arts, Rhode Island School of Design,  Maryland Institute College of Art, Savannah College of Art and Design, Brown University, Tufts University, University of California - Davis, University of Pittsburgh, Virginia Commonwealth University, Ringling College of Art and Design","Wesleyan University, University of Southern California, University of California - Los Angeles, University of California - Irvine, University of California - Santa Barbara, University of California - Berkeley",,
238,"Johns Hopkins, Case Western University",,,
239,"University of North Carolina - Chapel Hill, Chapel Hill, North Carolina State, University of Illinois - Urbana Champaign, Georgia Institute of Technology, University of California - Los Angeles, Duke University","Stanford University, Massachusetts Institute of Technology, Harvard University, Princeton University, Columbia University, University of California - Berkeley, University of Texas - Austin, University of Washington - Seattle",,
240,"Purdue University, Indiana University Bloomington","Massachusetts Institute of Technology, Northwestern University, Washington University - St Louis, Harvard University, Yale University, Columbia University, Dartmouth College, Princeton University",,
241,"University of North Carolina - Chapel Hill, North Carolina State, East Carolina University","Duke University, Vanderbilt University, Harvard University, Yale University, Princeton University, Brown University, Columbia University, Dartmouth College",,
242,"George Washington University, American University, Fordham University, Pace University, University of Charleston, Loyola University Chicago, University of South Carolina","University of Chicago, New York University, Barnard College, Boston University",,
243,"Fordham University, University of Minnesota - Twin Cities, University of Wisconsin - Madison, George Washington University","University of Pennsylvania, Johns Hopkins, New York University, Northwestern University, Washington University - St Louis, Yale University, Columbia University, Brown University",,
244,"Agnes Scott College, Beloit College, Cornell University, Drake University, Illinois Wesleyan University, Knox College, Kalamazoo College, The College of Wooster, UIC BarcElon Universitya International University of Catalonia, University of Illinois - Urbana Champaign",,,
245,"Ohio State, Case Western University, University of California - San Diego, University of California - Santa Barbara","Massachusetts Institute of Technology, California Institute of Technology, Harvard University, Princeton University, Brown University, Yale University, University of Pennsylvania, Duke University, Stanford University, Pomona College",,
246,"Georgia Institute of Technology, Brandeis University, University of Connecticut, University of Miami","University of Texas - Austin, Boston University",,
247,"University of Virginia, Wake Forest University, Baylor University, Fordham University, University of South Carolina, University of Florida, Villanova University, Virginia Institute of Technology, William & Mary","University of Notre Dame, University of North Carolina - Chapel Hill, Vanderbilt University, Dartmouth College, Tulane University",,
248,"Indiana University Bloomington, University of Utah, University of Vermont, University of Richmond, University of Virginia, Denison University, Grinnel College, Bates College, Carleton College, Colby College, Occidental College, Middlebury College, Cornell University","University of Chicago, Yale University, Princeton University",,
249,"Rutgers University, Kean University, New Jersey Institute of Technology, Johns Hopkins, Lehigh University",Yale University,,
250,"University of Virginia, University of Massachusetts - Amherst, Fordham University, Northeastern University, American University, Syracuse University, Trinity University, Lehigh University, Brown University, Case Western University","Villanova University, University of Virginia, Emory University, Boston College, New York University, Vassar College",,
251,"University of Washington - Seattle, Case Western University, University of Massachusetts - Amherst, University of Texas - Austin, Purdue University","Massachusetts Institute of Technology, California Institute of Technology, Harvard University, Stanford University, Brown University, Cornell University, Dartmouth College, Rice University, Amherst College, Washington University - St Louis, Northeastern University, Oregon State",,
252,"Tulane University, University of Pittsburgh, Loyola Marymount University, Fordham University, Boston University","Colorado College, University of North Carolina - Chapel Hill, Vanderbilt University, Amherst College, Boston College, George Washington University, Bowdoin College",,
253,"Saint Louis University, University of Notre Dame, University of Virginia, University of Southern California, University of Maryland - College Park, Reed College, William & Mary","Northwestern University, Georgetown University, Brown University, Dartmouth College, University of Pennsylvania",,
254,"University of California - Davis, University of California - San Diego, University of California - Santa Barbara, University of California - Merced, California Polytechnic State University, California State Polytechnic University - Pomona, San Diego State University",University of California - Berkeley,,
255,"University of Massachusetts - Amherst, Northeastern University, Georgia Institute of Technology, Boston University, Cornell University","University of Pennsylvania, University of California - Los Angeles",,
256,"University of California - San Diego, University of California - Riverside, Washington University - St Louis",University of California - Los Angeles,,
257,"Pennsylvania State, Virginia Institute of Technology, University of Florida, William & Mary, George Mason University, University of Wisconsin - Madison","Brown University, Columbia University, Cornell University, University of California - Berkeley, Georgia Institute of Technology, University of Illinois - Urbana Champaign, University of Washington - Seattle, University of Texas - Austin, University of Michigan - Ann Arbor, University of California - Los Angeles, Duke University, Rice University, Northwestern University, University of Maryland - College Park, Washington University - St Louis, University of North Carolina - Chapel Hill, University of Georgia",,
258,"University of Illinois - Urbana Champaign, Purdue University, University of Michigan - Ann Arbor","Massachusetts Institute of Technology, Cornell University, Northwestern University, University of Maryland - College Park, Pennsylvania State, Ohio State",,
259,"Fordham University, New Jersey Institute of Technology, Indiana University Bloomington",,,
260,"Boston University, Case Western University, Claremont McKenna College, Cornell University, Duke University, Emory University, Fordham University, Johns Hopkins, Occidental College, Stony Brook University, Tufts University, University of Miami, University of Southern California, Wake Forest University",Northeastern University,,
261,"University of Massachusetts - Amherst, University of Delaware, Worcester Polytechnic Institute, Pennsylvania State, University of Illinois - Urbana Champaign",,,
262,"University of Maryland - College Park, Georgia Institute of Technology, University of Notre Dame, Rice University, University of Central Florida","Stanford University, University of Southern California, Massachusetts Institute of Technology, Johns Hopkins, Vanderbilt University, Harvard University, Princeton University, University of California - Berkeley, Northeastern University",,
263,"University of Wisconsin - Madison, University of Central Florida, University of Florida, Florida State, Northeastern University, University of Maryland - College Park Purdue University, Pennsylvania State, Rutgers University, University of Michigan - Ann Arbor","Cornell University, University of Chicago, Georgia Institute of Technology, University of Illinois - Urbana Champaign, University of Notre Dame, University of California - San Diego, University of California - Los Angeles, University of California - Berkeley, University of North Carolina - Chapel Hill, Boston University",,
264,"Texas A&M, Virginia Institute of Technology, University of Texas - Dallas, University of Houston","Massachusetts Institute of Technology, University of Texas - Austin, Georgia Institute of Technology, Northeastern University, Harvey Mudd College, University of California - Berkeley, Vanderbilt University, Harvard University, Stanford University",,
265,"Harvey Mudd College, California Polytechnic State University - Pomona",California Institute of Technology,,
266,Grinnel College,University of Wisconsin - Madison,,
267,"University College London, Cornell University, University of California - Berkeley, University of University of Manchester, Illinois Institute of Technology, Virginia Institute of Technology, Cardiff University, Sheffield University, University of Minnesota - Twin Cities, Pratt Institute Institute","Cambridge University, Columbia University, University of Southern California, University of Texas - Austin",,
268,"McGill University, Rochester Institute of Technology, Columbia University","Princeton University, Massachusetts Institute of Technology, Duke University, Vanderbilt University, University of Pennsylvania",,
269,"University of Virginia, University of Maryland - College Park","Massachusetts Institute of Technology, Johns Hopkins, Harvard University, Princeton University, Cornell University, University of Pennsylvania, Columbia University",,
270,"New York University, University of Washington - Seattle","Bowdoin College, Northwestern University, Johns Hopkins, Cornell University",,
271,"Pace University, Marymount Manhattan College, New York University",,,
272,"University of Texas - Austin, Rice University, Northwestern University, Columbia University, Princeton University, Stanford University","Harvard University, Yale University, Duke University, Massachusetts Institute of Technology",,
273,University of Pennsylvania,,,
274,"University of California - Davis, University of California - Santa Barbara, University of California - San Diego, University of California - Irvine, University of California - Berkeley, University of California - Los Angeles, Johns Hopkins, Northwestern University","Brown University, Duke University",,
275,"Carnegie Mellon, University of Toronto, Boston University, Northeastern University, University of Rochester, Brandeis University, Binghamton University, University of Pittsburgh","Washington University - St Louis, University of Virginia",,
276,"University of Maryland - College Park, Georgia Institute of Technology","Stanford University, Rice University, University of Southern California, Johns Hopkins, Cornell University, University of Illinois - Urbana Champaign",,
277,"Brown University, University of Washington - Seattle, Cornell University, University of California - San Diego, University of California - Berkeley",Columbia University,,
278,California Institute of Technology,"Massachusetts Institute of Technology, Cornell University, University of Chicago, University of Michigan - Ann Arbor, San Jose State University, California Polytechnic State UniversityU, University of California - Berkeley, University of California - Los Angeles, University of California - Davis, University of California - Santa Barbara, Yale University, Princeton University, Stanford University, University of Pennsylvania, Dartmouth College, Brown University, Johns Hopkins, Duke University, Carnegie Mellon",,
279,"Johns Hopkins, University of Pittsburgh",,,
280,"Yale University, Stanford University, University of Chicago, Washington University - St Louis, Pomona College, Vanderbilt University, University of California - Los Angeles, University of California - Berkeley, University of Texas - Austin",Princeton University,,
281,University of Pennsylvania,,,
282,"Amherst College, Dartmouth College, Johns Hopkins, Occidental College, University of Pennsylvania, Washington University - St Louis","Swarthmore College, Williams College",,
283,"University of California - Irvine, University of California - San Diego, University of California - Santa Barbara, University of California - Santa Cruz, University of California - Riverside, Carnegie Mellon, Smith College","University of California - Berkeley, California Institute of Technology, Massachusetts Institute of Technology, Stanford University, Yale University",,
284,"University of Pittsburgh, Fordham University, University of North Carolina - Chapel Hill, University of Texas - Austin, Rice University","University of Florida, Johns Hopkins, Harvard University, Columbia University, Brown University, Cornell University, University of California - Berkeley, Duke University, Northwestern University, University of Southern California",,
285,"Pennsylvania State, University of Pittsburgh, University of Maryland - College Park, University of North Carolina - Chapel Hill, University of California - Los Angeles, University of California - San Diego, University of California - Santa Barbara","University of Pennsylvania, University of California - Berkeley, Harvard University, Princeton University, Dartmouth College, Stanford University, Duke University, Northwestern University",,
286,"San Jose State University, California Polytechnic State University, California State Polytechnic University - Pomona, California State University - Long Beach, University of the Pacific, University of California - Davis, University of California - Santa Barbara, University of California - Los Angeles","Stanford University, University of Southern California",,
287,New York University,"Columbia University, University of Michigan - Ann Arbor, University of Chicago",,
288,Columbia University,,,
289,"Michigan State, University of Michigan - Ann Arbor","Yale University, Princeton University, Northwestern University, Washington University - St Louis, Duke University",,
290,"Pace University, California State University San Marcos, California State University - Long Beach, University of Minnesota - Twin Cities, Simmons University, University of California - Santa Cruz, University of Massachusetts - Boston, University of California - Riverside","Northeastern University, University of California - Irvine, University of California - Los Angeles, University of California - Santa Barbara, Boston University, New York University",,
291,"Drexel University, Georgia Institute of Technology, Pennsylvania State, Temple University, University of Maryland - College Park, University of Pittsburgh, Rochester Institute of Technology","California Institute of Technology, Columbia University, Princeton University, Stanford University, University of Illinois - Urbana Champaign, University of California - Berkeley, Massachusetts Institute of Technology, University of Pennsylvania",,
292,"Indiana U Bloomington, University of Illinois - Urbana Champaign, Ohio State, Purde University, University of Miami of Ohio, Marquette University, Pepperdine University, DePaul University, Carroll University","University of Wisconsin - Madison, Northwestern University",,
293,"University of California - Irvine, University of California - Davis, California Polytechnic State University, Rose-Hulman Institute of Technology","Stanford University, Massachusetts Institute of Technology, California Institute of Technology, University of California - San Diego, University of California - Santa Barbara, Harvey Mudd College, University of California - Berkeley, Olin College of Engineering College",,
294,"University of Florida, University of Miami, University of South Florida, University of Central Florida",,,
295,"University of Minnesota - Twin Cities, Loyola University Chicago, University of Wisconsin - Madison, McGill University, Lewis & Clark College, Bates College","Northeastern University, Washington University - St Louis, Tufts University, Vassar College, Cornell University",,
296,"Yale University, Stanford University",,,
297,"Vanguard University, Concordia University Irvine, University of California - Davis, University of California - Irvine, University of California - San Diego, University of California - Santa Barbara, Wellesley College, Swarthmore College","University of Pennsylvania, University of Chicago, Northeastern University, University of Southern California, Washington University - St Louis, Carleton College, New York University, Princeton University, Yale University, Emory University, University of California - Berkeley",,
298,"Brown University, William and Mary, University of Virginia, University of Rochester, George Mason University, Bard College, Carnegie Mellon","Columbia University, University of Pennsylvania, Yale University, Princeton University, Swarthmore College, Stanford University",,
299,"New York University, George Washington University, University of Wisconsin - Madison, University of Pittsburgh, University of Connecticut, Drexel University, Fordham University",,,
300,"University of Northern Iowa, Iowa State, Pennsylvania State, University of Pittsburgh, Luther College, Clark University, Lehigh University, Swarthmore College","Northeastern University, Boston University, Brown University, Yale University",,
301,"Princeton University, University of North Carolina - Chapel Hill, Amherst College, Williams College, Vassar College, Vanderbilt University, Rice University, Wesleyan University, Providence University, George Washington University","Columbia University, Yale University, Tulane University",,
302,University of Chicago,,,
303,"University of Albany, University at Buffalo, State University of New York at New Paltz, Binghamton University, University of Maryland - College Park, Stony Brook University, Boston University",New York University,,
304,"University of California - Berkeley, University of California - San Diego, University of California - Santa Barbara, Arizona State, University of Massachusetts - Amherst","Stanford University, Harvey Mudd College, Cornell University, San Jose State University, California Polytechnic State University",,
305,"Oregon State, San Diego State University, California State University - Long Beach, University of Southern California, California Polytechnic State University, University of California - Riverside, University of California - Irvine, University of Washington - Seattle","Stanford University, University of California - Los Angeles, University of California - Berkeley, University of California - Davis, University of California - San Diego, University of California - Santa Barbara, Pomona College, Harvey Mudd College, University of Southern California, Harvard University, Cornell University, Columbia University, Brown University, University of Pennsylvania, Johns Hopkins, University of Michigan - Ann Arbor",,
306,"University of Washington - Seattle, University of California - Berkeley, University of California - San Diego, University of California - Los Angeles, University of California - Davis, New York University, Columbia University, Cornell University, Dartmouth College","Georgetown University, University of Southern California, Harvard University, Princeton University, Yale University, Northwestern University, Duke University, Stanford University, University of Pennsylvania, Brown University",,
307,"St Louis University, University of Southern California, University of Wisconsin - Madison, Pennsylvania State, George Washington University, University of Texas - Austin, University of Michigan - Ann Arbor, Northeastern University","University of California - Irvine, Carnegie Mellon, New York University, University of Southern California, University of Pennsylvania",,
308,"University of Pennsylvania, Pennsylvania State",,,
309,University of North Carolina - Chapel Hill,"Duke University, Trinity University, University of Pennsylvania, Massachusetts Institute of Technology, Carnegie Mellon, Georgia Institute of Technology, Cornell University, Columbia University, Stanford University, University of Virginia",,
310,"Tufts University, Barnard College, Brandeis University, Case Western University","Brown University, Cornell University, Columbia University, University of Chicago, Carnegie Mellon, New York University, Syracuse University, Trinity University",,
311,"Purdue University, University of Maryland - College Park, University of Wisconsin - Madison, University of Illinois - Urbana Champaign, University of Virginia, San Jose State University, University of California - Santa Cruz, University of California - Santa Barbara, Boston University, University of California - Davis","Carnegie Mellon, University of North Carolina - Chapel Hill, Johns Hopkins, Rice University, University of California - Berkeley, Northwestern University, University of Southern California, Vanderbilt University, Duke University, Cornell University, University of Pennsylvania, Dartmouth College",,
312,"Yale University, Harvard University, Stanford University, Columbia University, Duke University, Vanderbilt University, Vassar College, University of Michigan - Ann Arbor, University of Vermont","Northwestern University, Washington University - St Louis, Tufts University, Brown University, Cornell University, Princeton University, University of Pennsylvania",,
313,"University at Buffalo, University of Albany, State University of New York - Geneseo, Pennsylvania State, Ohio State, University of Arizona, Western Michigan Universityniversity, University of Southern California, University of Massachusetts - Amherst, University of Colorado - Boulder",Binghamton University,,
314,"University of California - Los Angeles, University of California - San Diego, University of California - Santa Barbara, University of California - Irvine, University of California - Davis, Northeastern University","Harvard University, Princeton University, Yale University, Brown University, Duke University, Columbia University, University of California - Berkeley",,
315,,"Northwestern University, University of Notre Dame, Vanderbilt University, University of Southern California, University of California - Los Angeles, University of California - Berkeley, University of Washington - St Louis",,
316,"Duke University, Rice University, University of North Carolina - Chapel Hill, Emory University, Virginia Institute of Technology, University of Miami, University of Maryland - College Park, University of Maryland - Baltimore College, University of Virginia, Rutgers University, Pennsylvania State, Howard University, Case Western University, Wake Forest University, North Carolina Agricultural and Technical State University, University of Pittsburgh, Washington University - St Louis, Williams College, Dartmouth College, College of New Jersey, University of Pennsylvania, Northwestern University, Franklin & Marshall College, Lafayette College, Middlebury College, Brown University","University of Southern California, Massachusetts Institute of Technology, Harvard University, Pomona College",,
317,"Princeton University, Cornell University, Vanderbilt University, Emory University, University of North Carolina - Chapel Hill, University of Virginia, Baylor University, Stony Brook University, Rutgers University, Montclair State, Kean University, Rider University, Rowan University, Michigan State, Spelman College, Hofstra University, Pennsylvania State",Brown University,,
318,"Stanford University, Harvard University, Yale University, Vanderbilt University, University of California - Los Angeles, University of California - Berkeley, University of California - Davis",,,
319,"Temple University, University of Pittsburgh, Bard College, University of Michigan - Ann Arbor, Wesleyan University",,,
320,"University of Pittsburgh, University of Michigan - Ann Arbor, Northeastern University, University of Colorado - Boulder, Colorado School of Mines, Temple University, University of Maryland - College Park, Rensselaer Polytechnic Institute","Massachusetts Institute of Technology, California Institute of Technology, Johns Hopkins, University of Texas - Austin",,
321,"Columbia University, Harvard University, University of Washington - Seattle, Rochester Institute of Technology, San Jose State University","Massachusetts Institute of Technology, University of California - Berkeley, Stanford University",,
322,"Duke University, Columbia University, Harvard University, Princeton University, Rice University, Washington University - St Louis, Johns Hopkins, University of Southern California, Northwestern University, Tufts University, New York University","Yale University, Brown University, Northeastern University, Boston University, Massachusetts Institute of Technology, Stanford University",,
323,"University of California - Berkeley, University of Southern California, George Washington University, University of Maryland - College Park, University of California - Davis, University of California - Santa Barbara, Pennsylvania State, University of Maryland - Baltimore County, Virginia Institute of Technology","Northwestern University, University of Virginia, Duke University, Yale University, Brown University",,
324,"Stony Brook University, Binghamton University, Case Western University, Brown University",,,
325,"San Diego State University, University of California - San Diego, University of Southern California","Massachusetts Institute of Technology, Northeastern University, University of California - Santa Barbara, University of California - Los Angeles, Boston University, University of Maryland - College Park, Stanford University",,
326,Stanford University,,,
327,University of Michigan - Ann Arbor,"University of Chicago, Northwestern University, Stanford University, Columbia University",,
328,"The College of Wooster, Arizona State, Ashoka University",University of Chicago,,
329,"Cornell University, University of Virginia, Wake Forest University, New York University, George Washington University, Bucknell University, Fordham University, Pennsylvania State, Loyola Maryland","Columbia University, Georgetown University, Duke University",,
330,"Baruch College, Hunter College, Stony Brook University, University at Buffalo, Binghamton University, Fordham University, University of Washington - Seattle, Case Western University, University of Southern California, Tufts University, Columbia University","Yale University, Boston University, Georgetown University, Harvard University, Princeton University, University of Pennsylvania",,
331,"University of Mary Hardin-Baylor, University of Texas - Rio Grande, Boston University, University of Delaware, University of North Texas, St. Edward's University, St. Mary's University, Texas Christian University, Texas A&M, University of Texas - Austin, Fordham University, University of Washington - Seattle, American University, Wellesley College, Boston College, Pomona College, George Washington University, University of Notre Dame, Carnegie Mellon, Amherst College","Northwestern University, Georgetown University, Columbia University, Princeton University, Cornell University, Yale University, Tulane University",,
332,"Northwestern University, University of Minnesota - Twin Cities",,,
333,"University of California - Irvine, University of California - San Diego, University of California - Los Angeles, University of California - Santa Barbara, University of Southern California",,,
334,"University of Albany, University of Maryland - Baltimore County, George Mason University, Towson University, University of Maryland - College Park, University of Delaware, Virginia Institute of Technology, Hamilton College, University of Virginia, George Washington University","Brown University, Colgate University, Columbia University, Haverford College, Howard University, Johns Hopkins, New York University, University of Pennsylvania, Boston University, Case Western University, Swarthmore College, Tufts University, Williams College",,
335,"Indiana University Bloomington, University of Utah, University of Vermont, University of Richmond, University of Virginia, Denison University, Grinnel College, Bates College, Carleton College, Colby College, Occidental College, Middlebury College",University of Chicago,,
336,"Le Moyne College, New York Institute of Technology, St Lawrence University, Alfred University, State University of New York - Oswego, State University of New York - Polytechnic Institute, Stony Brook University, University at Buffalo, University of Albany, Syracuse University, University of Rochester, Lehman College College - City University of New York, City College of New York, Brooklyn College, York University","New York University, Rochester Institute of Technology",,
337,"Michigan State, Carnegie Mellon",Stanford University,,
338,"Duke University, Cornell University, University of California - Berkeley, University of California - Los Angeles, University of California - San Diego, University of Minnesota - Twin Cities","University of Southern California, Swarthmore College, Harvard University, University of Pennsylvania",,
339,"University of Massachusetts - Amherst, University of Chicago",,,
340,"University of Virginia, Northeastern University, University of California - San Diego, University of California - Davis, University of California - Berkeley, Boston University, Boston College, Tufts University, New York University","Brown University, University of California - Los Angeles, University of Pennsylvania, Northwestern University",,
341,"Binghamton University, University of Pittsburgh, University of Minnesota - Twin Cities, University of Vermont, American University, George Washington University, McGill University, Tulane University","Northeastern University, Northwestern University, University of Chicago, Harvard University, Yale University, Stanford University, Brown University",,
342,"Arizona State, University of Arizona, New Mexico State, Coe College, Embry-Riddle Aeronautical University, University of York, Durham University, Pennsylvania State, University of Washington - Seattle, University of California - San Diego, Purdue University","University College London, University of California - Berkeley",,
343,Massachusetts Institute of Technology,,,
344,Emory University,,,
345,"University of Minnesota - Twin Cities, Rutgers University, University of Pittsburgh, Tulane University, University of Rochester, University of Miami, Fordham University, Florida State","Barnard College, Emory University, Yale University, Duke University, University of Pennsylvania, Brown University, Northwestern University, Columbia University, Northeastern University",,
346,"Washington University - St Louis, University of California - Berkeley, University of Southern California, Emory University, Tufts University, University of Michigan - Ann Arbor, Northeastern University, Boston University, University of Miami","University of Pennsylvania, Columbia University, Duke University, New York University",,
347,"Florida State, University of Florida, University of Miami, Howard University, New York University, Spelman College, University of Pennsylvania, University of Central Florida, University of South Florida",,,
348,"Arizona State, Northeastern University, Purdue University, University of California - Santa Cruz, University of California - Riverside, San Diego State University","Cornell University, University of Southern California, University of California - Berkeley, San Jose State University, University of California - Los Angeles, Columbia University, Washington University - St Louis, Yale University, Northwestern University, Brown University, Rice University, Stanford University, Duke University, University of California - Santa Barbara, University of California - San Diego",,
349,"New Jersey Institute of Technology, Purdue University, Colorado School of Mines, Michigan State, Colorado State, Arizona State, Rochester Institute of Technology, University of California - Irvine, University of California - Davis","Harvey Mudd College, Massachusetts Institute of Technology, University of California - Santa Barbara, University of Massachusetts - Amherst, Emory University, Northeastern University, Boston University, University of California - San Diego, University of California - Los Angeles, University of California - Berkeley, Binghamton University, Stony Brook University, New York University, University of Maryland - College Park",,
350,"Vanderbilt University, University of Michigan - Ann Arbor, Clemson University, University of Georgia, Santa Clara University, Fordham University, Arizona State, University of Arizona",,,
351,"University of California - Los Angeles, University of California - Irvine, Georgetown University, University of California - San Diego, University of California - Berkeley","Massachusetts Institute of Technology, Harvard University, University of Pennsylvania, Cornell University, Dartmouth College, Yale University, University of Chicago, Stanford University, Princeton University",,
352,"Massachusetts Institute of Technology, California Institute of Technology, Georgia Institute of Technology, University of Florida, University of California - Berkeley",Northeastern University,,
353,Princeton University,,,
354,"Harvard University, University of Texas - Austin",,,
355,"Cornell University, California Polytechnic State University, Pomona College, Virginia Institute of Technology, University of California - San Diego, University of Maryland - College Park, University of Massachusetts - Amherst, San Jose State University","Stanford University, University of California - Berkeley, Tufts University",,
356,"University of Michigan - Ann Arbor, University of California - Los Angeles, Carnegie Mellon, Amherst College, Carleton College, Northeastern University, UCS, Case Western University, University of California - Santa Barbara","Princeton University, Yale University, Stanford University, Columbia University, Pomona College, Johns Hopkins, Massachusetts Institute of Technology, Harvard University, University of Pennsylvania, Duke University, University of California - Berkelely",,
357,"California State University - Los Angeles, California State Polytechnic University - Pomona, University of California - Irvine, University of California - Santa Barbara, University of California - San Diego",,,
358,"Northwestern University, Rice University, University of Chicago, Georgetown University, UNotreDame, University of California - Los Angeles, Occidental College, University of Wisconsin - Madison, Indiana University Bloomington",,,
359,"University of Georgia, Georgia Institute of Technology, Johns Hopkins, The College of Wooster, University of Puget Sound",,,
360,"University of Central Florida, University of South Florida, Florida Atlantic University, Florida Institute of Technology, Jacksonville University, Mississippi State, University of Alabama, Chatham University, Columbia University, Maryville College, University of North Florida, University of Illinois Urbana-Champaign, Western Washington University, Michigan State, University of Iowa, Webster University, University of Nebraska - Lincoln, University of South Dakota, New College of Florida, University of Kansas, Carson-Newman University, York College of Pennsylvania, Rutgers University, Long Island University Brooklyn, University of Oklahoma, University of Alaska - Anchorage, Florida Polytechnic University, University of Arizona, Flagler College, Cornell University, Nova Southeastern University, Binghamton University, Florida Southern College, La Salle, University of Delaware, University of New Mexico, North Central College, University of Montana, University of Washington - Seattle, Duquesne University, Texas A&M, St Mary's University, Pennsylvania State, University of Notre Dame, Southwestern University, Clemson University, Florida State, St. Olaf College, Christopher Newport University, University of Florida, University of Connecticut, Rutgers University, University of Minnesota - Twin Cities, Furman University, College of New Jersey, University of Vermont, Auburn University, Rensselaer Polytechnic Institute, Florida International University, Arcadia University, University of Tennessee - Knoxville, University of Tampa, University of Pennsylvania","California Institute of Technology, Massachusetts Institute of Technology, Amherst College, Swarthmore College, Pomona College, Washington University - St Louis, Vanderbilt University, Tufts University, Tulane University, Columbia University, Princeton University, Duke University, Stanford University",,
361,"Northeastern University, Purdue University, University of Washington - Seattle, University of California - Irvine, University of Pittsburgh, San Jose State University, San Diego State University","Columbia University, Stanford University, Northwestern University, California Institute of Technology, Georgia Institute of Technology, Cornell University, Princeton University, University of California - Santa Barbara, University of California - Berkeley, Massachusetts Institute of Technology",,
362,"University of Florida, Santa Clara University, University of Georgia, Southern Methodist University, Florida State, Loyola Marymount University","University of North Carolina - Chapel Hill, University of Notre Dame, University of Texas - Austin, University of Virginia, University of California - Berkeley, University of California - Los Angeles, University of California - Santa Barbara, Vanderbilt University, Wake Forest University, Boston College",,
363,"Princeton University, Dartmouth College, University of California - Davis","Yale University, Harvard University, Columbia University, University of Pennsylvania, California Institute of Technology, Cornell University, Massachusetts Institute of Technology, University of California - Santa Barbara, University of California - Los Angeles, Northeastern University",,
364,"University of Michigan - Ann Arbor, University of California - Los Angeles, University of California - Berkeley","Cornell University, Columbia University, Carnegie Mellon, California Institute of Technology, Georgia Institute of Technology",,
365,"University of California - Santa Cruz, University of California - Santa Barbara, University of California - Irvine, University of California - Davis, University of Southern California, New York University, University of Washington - Seattle, University of Illinois - Urbana Champaign","University of California - Los Angeles, University of California - Berkeley, Barnard College",,
