ID,Accepts,Rejects,Waitlisted,Deferred
91,"Harvard University, Princeton University, Columbia University, Yale University, Duke University, California Institute of Technology, Johns Hopkins, Dartmouth College, Brown University, Cornell University, Rice University, University of Notre Dame, Vanderbilt University","Massachusetts Institute of Technology, Stanford University, Northwestern University, University of California - Los Angeles",,
92,"Yale University, Duke University","Amherst College, Harvard University, Northwestern University",,
93,"Harvey Mudd College, University of Toronto, University College London, Delft University, Yale University, University of St Andrews, University of Amsterdam, University of University of Exeter,","Imperial College London, Cambridge University",,
94,"Brandeis University, Hamilton College, Colgate University, Lafayette College, Middlebury College, Wesleyan University, Vassar College, Amherst College, Cornell University, Yale University","Brown University, Princeton University, Columbia University",,
95,"University of North Carolina - Chapel Hill, University of Michigan - Ann Arbor, University of Maryland - College Park, University of Virginia, Yale University, University of California - San Diego, University of California - Los Angeles, University of California - Berkeley, Boston University, New York University, Duke University, Harvard University","Columbia University, Stanford University",,
96,"Georgetown University, Yale University, University of Notre Dame, Fordham University, Northeastern University, Dartmouth College, Northwestern University, Boston College",Columbia University,,
97,"Georgia Institute of Technology, University of Georgia, Georgia State, Berry College, George Washington University, Yale University, Harvard University",Cornell University,,
98,"University of Massachusetts - Amherst, University of California - San Diego, Tufts University, University of Illinois - Urbana Champaign, University of Michigan - Ann Arbor, Northeastern University, Vanderbilt University, Yale University","Stanford University, Massachusetts Institute of Technology, Princeton University",,
99,"Amherst College, Mount Holyoke College, Bryn Mawr College, Smith College, Barnard College, Brown University, Princeton University, Columbia University, Yale University",,,
100,"Harvard University, Yale University, Stanford University, University of Pennsylvania, Dartmouth College, Brown University, Vanderbilt University, Williams College, Amherst College, Tufts University, Northeastern University, Hamilton College","Skidmore College, Princeton University",,
101,Yale University,,,
102,"Harvard University, Yale University, Stanford University, Cornell University, Massachusetts Institute of Technology, University of Pennsylvania, Brown University, Swarthmore College, University of California - Davis, University of California - Irvine, University of California - Berkeley, Rochester Institute of Technology, Net Paltz, Buffalo State University, Stony Brook University, Hunter College, Brooklyn College, City COllege of New York, Lehman College, Queen's University, Clarkson University, University of Rochester, Vassar College","California Institute of Technology, University of California - Los Angeles, Carnegie Mellon, Princeton University",,
103,"University of North Carolina - Chapel Hill, University of Virginia, University of Maryland - College Park, Vanderbilt University, Emory University, Washington University - St Louis, Harvard University, Yale University, Duke University",,,
104,"Amherst College, Binghamton University, Stony Brook University, Northeastern University, University of California - Santa Barbara, Swarthmore College, University of California - Los Angeles, University of California - Berkeley, Middlebury College, Amherst College, Cornell University, Brown University, Yale University","Harvard University, Dartmouth College",,
105,"University of Georgia, University of Alabama - University of Birmingham, University of North Carolina - Chapel Hill, University of Virginia, University of Pennsylvania, Brown University, University of Notre Dame, Yale University, Stanford University, Duke University","Princeton University, Rice University, Vanderbilt University, Washington University - St Louis, University of Southern California",,
106,"Massachusetts Institute of Technology, University of Michigan - Ann Arbor, Stanford University, Harvard University, Yale University, Princeton University, Duke University, University of California - Berkeley, Purdue University, University of Illinois - Urbana Champaign, Georgia Institute of Technology","University of Chicago, California Institute of Technology",,
107,"Princeton University, Yale University, Columbia University, Duke University, Cornell University, Vanderbilt University, University of California - Los Angeles, University of California - Berkeley, Massachusetts Institute of Technology",Stanford University,,
108,"Massachusetts Institute of Technology, California Institute of Technology, University of Chicago, University of Texas - Austin, Yale University, Harvard University, Stanford University, Columbia University, Dartmouth College, University of Pennsylvania, Brown University, Cornell University, Johns Hopkins, Northwestern University, Washington University - St Louis, Duke University, Rice University, University of California - Berkeley, University of California - Los Angeles, University of Notre Dame",University of Washington - Seattle,,
109,"University of Georgia, Georgia Institute of Technology, Brown University, Yale University","Duke University, Harvard University",,
110,"Arizona State, Howard University, University of California - Los Angeles, University of California - Berkeley, Columbia University, Stanford University, Harvard University, Yale University",,,
111,"Massachusetts Institute of Technology, Harvard University, Stanford University, Yale University, Columbia University, California Institute of Technology, Harvey Mudd College, University of California - Berkeley",,,
112,"Massachusetts Institute of Technology, California Institute of Technology, Harvard University, Yale University, Princeton University, Stanford University, Columbia University, Johns Hopkins, University of Rochester, Northeastern University",Northwestern University,,
113,"Yale University, University of Virginia, Duke University New York University, William & Mary","Massachusetts Institute of Technology, Rice University, Washington University - St Louis",,
114,Yale University,,,
115,"Yale University, Vanderbilt University, University of Southern California, University of California - Berkeley, University of California - Los Angeles","Massachusetts Institute of Technology, Stanford University, University of California - Santa Barbara",,
116,"University of Texas - Austin, Trinity University, Duke University, Rice University, Georgetown University, Stanford University Columbia University, University of Pennsylvania, Princeton University, Harvard University, Yale University",,,
117,"Yale University, Princeton University, Amherst College University of Florida",Harvard University,,
118,"Fordham University, St. John's University, George Washington University, Williams College, Georgetown University, Brown University, University of Pennsylvania, Yale University, Harvard University","Columbia University, University of Chicago",,
119,"Binghamtom University, University of Michigan - Ann Arbor, University of Virginia, Swarthmore College, Amherst College, Williams College, Brown University, Duke University, University of Pennsylvania, Yale University","Tufts University, Columbia University Princeton University, Stanford University",,
120,"Johns Hopkins, Georgetown University, Yale University, Duke University, University of Connecticut, Wesleyan University, Trinity University","Stanford University, Harvard University, Princeton University",,
121,"Yale University, Vanderbilt University, Princeton University, Brown University, Washington University - St Louis, Georgia Institute of Technology, Case Western University, University of Illinois - Urbana Champaign, Purdue University, Rensselaer Polytechnic Institute","Stanford University, University of Southern California",,
122,"University of Southern California, Vanderbilt University, Massachusetts Institute of Technology, Amherst College, University of California - Irvine, University of California - San Diego, University of California - Los Angeles, Pomona College, New York University, Yale University, Stanford University","Harvard University, Princeton University, Brown University",,
123,"Yale University, Columbia University, Cornell University, Dartmouth College, Vanderbilt University, Villanova University, University of North Carolina - Chapel Hill, University of Georgia","Duke University, University of Michigan - Ann Arbor, University of Notre Dame, University of Pennsylvania",,
